"Id_SNVeg","n_total","n_sig","prop_sig","parque","escala","mes"
"AlpConF",47119,0,0,"aiguestortes",1,1
"AlpScrGr",90179,0,0,"aiguestortes",1,1
"Grass",649,0,0,"aiguestortes",1,1
"HydroRipVeg",599,0,0,"aiguestortes",1,1
"RipF",223,0,0,"aiguestortes",1,1
"RockScreeVeg",60305,0,0,"aiguestortes",1,1
"Shrub",528,0,0,"aiguestortes",1,1
"TempDecF",913,0,0,"aiguestortes",1,1
"WaterSurf",4432,0,0,"aiguestortes",1,1
"AlpConF",47129,0,0,"aiguestortes",1,2
"AlpScrGr",90472,4,0,"aiguestortes",1,2
"Grass",647,0,0,"aiguestortes",1,2
"HydroRipVeg",599,0,0,"aiguestortes",1,2
"RipF",223,0,0,"aiguestortes",1,2
"RockScreeVeg",60535,0,0,"aiguestortes",1,2
"Shrub",528,0,0,"aiguestortes",1,2
"TempDecF",913,0,0,"aiguestortes",1,2
"WaterSurf",4432,0,0,"aiguestortes",1,2
"AlpConF",47131,0,0,"aiguestortes",1,3
"AlpScrGr",90046,0,0,"aiguestortes",1,3
"Grass",650,0,0,"aiguestortes",1,3
"HydroRipVeg",599,0,0,"aiguestortes",1,3
"RipF",223,0,0,"aiguestortes",1,3
"RockScreeVeg",59792,0,0,"aiguestortes",1,3
"Shrub",528,0,0,"aiguestortes",1,3
"TempDecF",913,0,0,"aiguestortes",1,3
"WaterSurf",4426,0,0,"aiguestortes",1,3
"AlpConF",47129,0,0,"aiguestortes",1,4
"AlpScrGr",89976,0,0,"aiguestortes",1,4
"Grass",650,0,0,"aiguestortes",1,4
"HydroRipVeg",599,0,0,"aiguestortes",1,4
"RipF",223,0,0,"aiguestortes",1,4
"RockScreeVeg",59380,0,0,"aiguestortes",1,4
"Shrub",528,0,0,"aiguestortes",1,4
"TempDecF",913,0,0,"aiguestortes",1,4
"WaterSurf",4420,0,0,"aiguestortes",1,4
"AlpConF",47125,0,0,"aiguestortes",1,5
"AlpScrGr",89502,0,0,"aiguestortes",1,5
"Grass",650,0,0,"aiguestortes",1,5
"HydroRipVeg",599,0,0,"aiguestortes",1,5
"RipF",223,0,0,"aiguestortes",1,5
"RockScreeVeg",58338,0,0,"aiguestortes",1,5
"Shrub",528,0,0,"aiguestortes",1,5
"TempDecF",913,0,0,"aiguestortes",1,5
"WaterSurf",4420,0,0,"aiguestortes",1,5
"AlpConF",47156,0,0,"aiguestortes",1,6
"AlpScrGr",89985,0,0,"aiguestortes",1,6
