Id_SNVeg,n_total,mes,escala,n,parque
AlpConF,47119,1,1,0,aiguestortes
AlpConF,47119,1,12,0,aiguestortes
AlpConF,47119,1,3,0,aiguestortes
AlpConF,47119,1,6,0,aiguestortes
AlpConF,47119,1,9,0,aiguestortes
AlpScrGr,90179,1,1,0,aiguestortes
AlpScrGr,90179,1,12,0,aiguestortes
AlpScrGr,90179,1,3,0,aiguestortes
AlpScrGr,90179,1,6,0,aiguestortes
AlpScrGr,90179,1,9,0,aiguestortes
Grass,649,1,1,0,aiguestortes
Grass,649,1,12,0,aiguestortes
Grass,649,1,3,0,aiguestortes
Grass,649,1,6,0,aiguestortes
Grass,649,1,9,0,aiguestortes
HydroRipVeg,599,1,1,0,aiguestortes
HydroRipVeg,599,1,12,0,aiguestortes
HydroRipVeg,599,1,3,0,aiguestortes
HydroRipVeg,599,1,6,0,aiguestortes
HydroRipVeg,599,1,9,0,aiguestortes
RipF,223,1,1,0,aiguestortes
RipF,223,1,12,0,aiguestortes
RipF,223,1,3,0,aiguestortes
RipF,223,1,6,0,aiguestortes
RipF,223,1,9,0,aiguestortes
RockScreeVeg,60305,1,1,0,aiguestortes
RockScreeVeg,60305,1,12,0,aiguestortes
RockScreeVeg,60305,1,3,0,aiguestortes
RockScreeVeg,60305,1,6,0,aiguestortes
RockScreeVeg,60305,1,9,0,aiguestortes
Shrub,528,1,1,0,aiguestortes
Shrub,528,1,12,0,aiguestortes
Shrub,528,1,3,0,aiguestortes
Shrub,528,1,6,0,aiguestortes
Shrub,528,1,9,0,aiguestortes
TempDecF,913,1,1,0,aiguestortes
TempDecF,913,1,12,0,aiguestortes
TempDecF,913,1,3,0,aiguestortes
TempDecF,913,1,6,0,aiguestortes
TempDecF,913,1,9,0,aiguestortes
WaterSurf,4432,1,1,0,aiguestortes
WaterSurf,4432,1,12,0,aiguestortes
WaterSurf,4432,1,3,0,aiguestortes
WaterSurf,4432,1,6,0,aiguestortes
WaterSurf,4432,1,9,0,aiguestortes
AlpConF,47129,2,1,0,aiguestortes
AlpConF,47129,2,12,0,aiguestortes
AlpConF,47129,2,3,0,aiguestortes
AlpConF,47129,2,6,0,aiguestortes
AlpConF,47129,2,9,0,aiguestortes
AlpScrGr,90472,2,1,1,aiguestortes
AlpScrGr,90472,2,12,0,aiguestortes
AlpScrGr,90472,2,3,7,aiguestortes
AlpScrGr,90472,2,6,2,aiguestortes
AlpScrGr,90472,2,9,0,aiguestortes
Grass,647,2,1,0,aiguestortes
Grass,647,2,12,0,aiguestortes
